subject;AQ;group;session;daysInBetween;pictureCondition;cancel;ACC;RT1;RTTot;delta_ACC;delta_RT1;delta_RTTot;roi_efield;P99_efield;perc_overlap;volume_roi;volume_P99;volume_overlap
3;15;1;1;5;5;0;2;15086;20819;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;1;5;3;0;6;18277;24040;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;1;5;1;0;6;18808;22432;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;1;5;1;0;6;12483;19892;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;1;5;3;0;2;19327;24102;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;1;5;3;0;6;24323;31113;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;1;5;2;0;6;31027;35379;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;1;5;2;0;3;34685;42623;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;1;5;2;0;0;18580;23153;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;1;5;5;0;0;37791;44905;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;1;5;1;0;6;15551;20135;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;1;0;0;36649;40915;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;3;0;0;21196;31063;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;3;0;2;23653;32412;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;2;0;6;17433;25184;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;1;0;6;11876;16090;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;2;0;6;12705;16840;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;2;0;6;9045;14858;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;1;0;6;21554;23902;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;5;0;2;19272;34895;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;5;0;0;30250;34511;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;3;0;3;11660;15457;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;2;0;4;34628;40075;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;3;0;0;14909;21254;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;1;0;6;18884;25217;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;5;0;6;31034;36260;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
3;15;1;2;5;5;1;6;17023;35676;0,5;-980,625;-1462,75;0,166903233;0,185792843;0,207770252;3090,625403;6588,785485;642,1400173
4;11;1;1;7;5;0;6;39441;57912;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
4;11;1;1;7;3;0;2;42272;53616;-0,25;4191,4375;5284,0625;0,261562018;0,299397594;0,292116516;3142,613931;7226,917774;918,0094338
